title,rating,numOfRatings,FirstMovieRecommendation,SecondMovieRecommendation,ThirdMovieRecommendation,FourthMovieRecommendation
"Tin Drum, The (Blechtrommel, Die) (1979)",3.7142857142857144,21,Murder at 1600 (1997),When Harry Met Sally... (1989),Rear Window (1954),Star Trek IV: The Voyage Home (1986)
Tin Men (1987),3.2,30,M*A*S*H (1970),Quiz Show (1994),Butch Cassidy and the Sundance Kid (1969),Top Gun (1986)
Titanic (1997),4.233160621761658,193,Die Hard (1988),Courage Under Fire (1996),Eraser (1996),Jurassic Park (1993)
To Be or Not to Be (1942),3.7142857142857144,7,To Kill a Mockingbird (1962),Terminator 2: Judgment Day (1991),Courage Under Fire (1996),Raising Arizona (1987)
To Catch a Thief (1955),4.0,28,Heat (1995),When Harry Met Sally... (1989),One Flew Over the Cuckoo's Nest (1975),Mr. Holland's Opus (1995)
To Die For (1995),3.088888888888889,45,Boogie Nights (1997),M*A*S*H (1970),"People vs. Larry Flynt, The (1996)",Brazil (1985)
To Gillian on Her 37th Birthday (1996),2.9583333333333335,24,"Terminator, The (1984)",Batman (1989),Babe (1995),Starship Troopers (1997)
"To Have, or Not (1995)",1.0,1,-,-,-,-
To Kill a Mockingbird (1962),4.300884955752212,113,Mighty Aphrodite (1995),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),"People vs. Larry Flynt, The (1996)",E.T. the Extra-Terrestrial (1982)
To Live (Huozhe) (1994),4.2,5,Sense and Sensibility (1995),"Clockwork Orange, A (1971)",Dances with Wolves (1990),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)
"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",3.0,33,"Game, The (1997)","Truth About Cats & Dogs, The (1996)",In & Out (1997),L.A. Confidential (1997)
Tom & Viv (1994),3.3333333333333335,6,"Clockwork Orange, A (1971)",Scream (1996),Rear Window (1954),M*A*S*H (1970)
Tom and Huck (1995),3.375,8,Mars Attacks! (1996),Trainspotting (1996),Star Trek: First Contact (1996),Mr. Holland's Opus (1995)
Tombstone (1993),3.5925925925925926,54,Star Trek IV: The Voyage Home (1986),Rear Window (1954),"Devil's Own, The (1997)","Clockwork Orange, A (1971)"
Tommy Boy (1995),2.9545454545454546,44,"English Patient, The (1996)",Top Gun (1986),Mighty Aphrodite (1995),"Lion King, The (1994)"
Tomorrow Never Dies (1997),3.4523809523809526,84,Stand by Me (1986),Star Trek: The Wrath of Khan (1982),Braveheart (1995),Men in Black (1997)
Top Gun (1986),3.543103448275862,116,Mr. Holland's Opus (1995),Forrest Gump (1994),Independence Day (ID4) (1996),"Rock, The (1996)"
Top Hat (1935),4.066666666666666,15,Stand by Me (1986),Phenomenon (1996),"Princess Bride, The (1987)",Ransom (1996)
Total Eclipse (1995),3.5,2,Jerry Maguire (1996),Mission: Impossible (1996),Sense and Sensibility (1995),Leaving Las Vegas (1995)
Touch (1997),2.6666666666666665,3,Chasing Amy (1997),L.A. Confidential (1997),Lone Star (1996),Liar Liar (1997)
Touch of Evil (1958),3.8333333333333335,18,Dante's Peak (1997),"Graduate, The (1967)",Quiz Show (1994),Heat (1995)
Tough and Deadly (1995),5.0,1,-,-,-,-
Touki Bouki (Journey of the Hyena) (1973),1.0,1,-,-,-,-
Toy Story (1995),3.888888888888889,225,Aladdin (1992),Liar Liar (1997),Ransom (1996),Apollo 13 (1995)
Trainspotting (1996),3.911764705882353,136,Raising Arizona (1987),Leaving Las Vegas (1995),"Full Monty, The (1997)",One Flew Over the Cuckoo's Nest (1975)
"Transformers: The Movie, The (1986)",2.6153846153846154,13,"English Patient, The (1996)",Courage Under Fire (1996),One Flew Over the Cuckoo's Nest (1975),"Graduate, The (1967)"
Traveller (1997),3.5,8,Unforgiven (1992),Sense and Sensibility (1995),Alien (1979),One Flew Over the Cuckoo's Nest (1975)
"Treasure of the Sierra Madre, The (1948)",4.078947368421052,38,Ransom (1996),M*A*S*H (1970),Casablanca (1942),Scream (1996)
Trees Lounge (1996),3.257142857142857,35,"Clockwork Orange, A (1971)",Starship Troopers (1997),"People vs. Larry Flynt, The (1996)","Graduate, The (1967)"
Trial and Error (1997),2.875,8,Apollo 13 (1995),Starship Troopers (1997),2001: A Space Odyssey (1968),Star Trek III: The Search for Spock (1984)
Trial by Jury (1994),2.4,5,Raiders of the Lost Ark (1981),"Hunt for Red October, The (1990)",Apocalypse Now (1979),Quiz Show (1994)
"Trigger Effect, The (1996)",3.0,20,Babe (1995),It's a Wonderful Life (1946),Butch Cassidy and the Sundance Kid (1969),"Game, The (1997)"
True Crime (1995),3.0,5,Rear Window (1954),Dances with Wolves (1990),Star Trek III: The Search for Spock (1984),Apocalypse Now (1979)
True Lies (1994),3.6018518518518516,108,Volcano (1997),"Game, The (1997)","Rock, The (1996)","English Patient, The (1996)"
True Romance (1993),3.566666666666667,60,"Game, The (1997)",M*A*S*H (1970),"Shining, The (1980)","Clockwork Orange, A (1971)"
"Truman Show, The (1998)",2.6,5,L.A. Confidential (1997),Air Force One (1997),Volcano (1997),"Game, The (1997)"
Trust (1990),3.8,15,Dead Poets Society (1989),Leaving Las Vegas (1995),Star Trek IV: The Voyage Home (1986),"Shining, The (1980)"
"Truth About Cats & Dogs, The (1996)",3.5223880597014925,134,Four Weddings and a Funeral (1994),Sleepless in Seattle (1993),Schindler's List (1993),Lone Star (1996)
"Truth or Consequences, N.M. (1997)",3.0,1,-,-,-,-
Turbo: A Power Rangers Movie (1997),2.0,4,"Fish Called Wanda, A (1988)",Titanic (1997),Sleepless in Seattle (1993),Mission: Impossible (1996)
Turbulence (1997),2.727272727272727,11,One Flew Over the Cuckoo's Nest (1975),When Harry Met Sally... (1989),Willy Wonka and the Chocolate Factory (1971),Sense and Sensibility (1995)
"Turning, The (1992)",3.0,1,-,-,-,-
Twelfth Night (1996),3.5833333333333335,12,L.A. Confidential (1997),Beauty and the Beast (1991),GoodFellas (1990),"Clockwork Orange, A (1971)"
Twelve Monkeys (1995),3.7590909090909093,220,Star Trek: The Wrath of Khan (1982),Dead Man Walking (1995),Batman (1989),"Clockwork Orange, A (1971)"
Twin Town (1997),2.5,4,Leaving Las Vegas (1995),"Birdcage, The (1996)",Face/Off (1997),"Graduate, The (1967)"
Twisted (1996),3.0,3,-,-,-,-
Twister (1996),3.2066666666666666,150,"Game, The (1997)",Dante's Peak (1997),"Saint, The (1997)",Volcano (1997)
Two Bits (1995),2.3333333333333335,3,"Full Monty, The (1997)",L.A. Confidential (1997),Lone Star (1996),Mighty Aphrodite (1995)
Two Deaths (1995),1.6666666666666667,3,"Clockwork Orange, A (1971)","English Patient, The (1996)",Lone Star (1996),Beauty and the Beast (1991)
Two Much (1996),2.1666666666666665,6,Face/Off (1997),Toy Story (1995),Murder at 1600 (1997),Phenomenon (1996)
Two if by Sea (1996),2.4375,16,Babe (1995),Casablanca (1942),Butch Cassidy and the Sundance Kid (1969),This Is Spinal Tap (1984)
Two or Three Things I Know About Her (1966),3.6666666666666665,3,Brazil (1985),Pulp Fiction (1994),Quiz Show (1994),"Hunt for Red October, The (1990)"
U Turn (1997),3.4375,32,Face/Off (1997),Courage Under Fire (1996),Psycho (1960),One Flew Over the Cuckoo's Nest (1975)
U.S. Marshalls (1998),3.0,4,Dead Man Walking (1995),Twelve Monkeys (1995),"Shining, The (1980)",Schindler's List (1993)
Ulee's Gold (1997),3.8282828282828283,99,Raiders of the Lost Ark (1981),Monty Python and the Holy Grail (1974),"Time to Kill, A (1996)",Mars Attacks! (1996)
"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",3.75,8,Titanic (1997),2001: A Space Odyssey (1968),"Truth About Cats & Dogs, The (1996)",Evita (1996)
"Unbearable Lightness of Being, The (1988)",3.2888888888888888,45,Dante's Peak (1997),Dead Man Walking (1995),Apocalypse Now (1979),GoodFellas (1990)
Under Siege (1992),3.305084745762712,59,"Devil's Own, The (1997)",Quiz Show (1994),M*A*S*H (1970),"Hunt for Red October, The (1990)"
Under Siege 2: Dark Territory (1995),2.4444444444444446,27,Terminator 2: Judgment Day (1991),Air Force One (1997),Evita (1996),Forrest Gump (1994)
Underground (1995),3.0,2,-,-,-,-
"Underneath, The (1995)",2.0,2,Apocalypse Now (1979),"Clockwork Orange, A (1971)",M*A*S*H (1970),Back to the Future (1985)
Unforgettable (1996),3.3684210526315788,19,Dead Poets Society (1989),Mrs. Doubtfire (1993),"Blues Brothers, The (1980)",Top Gun (1986)
Unforgiven (1992),3.895238095238095,105,Chasing Amy (1997),Seven (Se7en) (1995),Face/Off (1997),2001: A Space Odyssey (1968)
Unhook the Stars (1996),2.2857142857142856,7,"Shawshank Redemption, The (1994)","Usual Suspects, The (1995)","Graduate, The (1967)",Chasing Amy (1997)
Unstrung Heroes (1995),3.5833333333333335,12,To Kill a Mockingbird (1962),"People vs. Larry Flynt, The (1996)","Truth About Cats & Dogs, The (1996)","Hunt for Red October, The (1990)"
Until the End of the World (Bis ans Ende der Welt) (1991),3.0,15,"Game, The (1997)",Groundhog Day (1993),Contact (1997),Evita (1996)
Unzipped (1995),3.5,6,Amadeus (1984),"Sound of Music, The (1965)",Get Shorty (1995),L.A. Confidential (1997)
Up Close and Personal (1996),3.1363636363636362,44,Star Trek IV: The Voyage Home (1986),"Devil's Own, The (1997)",Star Trek III: The Search for Spock (1984),Broken Arrow (1996)
Up in Smoke (1978),3.1363636363636362,22,Quiz Show (1994),Rear Window (1954),Star Trek: The Wrath of Khan (1982),Broken Arrow (1996)
"Usual Suspects, The (1995)",4.344594594594595,148,"Shawshank Redemption, The (1994)",Heat (1995),Stand by Me (1986),Conspiracy Theory (1997)
Vampire in Brooklyn (1995),2.125,8,Star Wars (1977),Die Hard (1988),Boogie Nights (1997),Twelve Monkeys (1995)
"Van, The (1996)",2.5,4,Stand by Me (1986),"Game, The (1997)",Scream (1996),"Sound of Music, The (1965)"
Vanya on 42nd Street (1994),3.6666666666666665,15,"Game, The (1997)",Twelve Monkeys (1995),True Lies (1994),Evita (1996)
Vegas Vacation (1997),2.4523809523809526,42,Murder at 1600 (1997),Brazil (1985),"Devil's Own, The (1997)",Air Force One (1997)
Venice/Venice (1992),1.0,1,-,-,-,-
Vermin (1998),1.0,1,-,-,-,-
Vermont Is For Lovers (1992),1.0,1,-,-,-,-
Vertigo (1958),4.232323232323233,99,"Game, The (1997)",Mighty Aphrodite (1995),Lone Star (1996),"Clockwork Orange, A (1971)"
"Very Brady Sequel, A (1996)",2.2142857142857144,56,Ransom (1996),Psycho (1960),True Lies (1994),Mighty Aphrodite (1995)
"Very Natural Thing, A (1974)",1.0,1,-,-,-,-
Victor/Victoria (1982),3.4473684210526314,38,L.A. Confidential (1997),"Truth About Cats & Dogs, The (1996)",When Harry Met Sally... (1989),Butch Cassidy and the Sundance Kid (1969)
"Vie est belle, La (Life is Rosey) (1987)",1.0,1,-,-,-,-
Village of the Damned (1995),2.642857142857143,14,In & Out (1997),Quiz Show (1994),"Lion King, The (1994)",Willy Wonka and the Chocolate Factory (1971)
Virtuosity (1995),3.1363636363636362,22,Air Force One (1997),Amadeus (1984),M*A*S*H (1970),"Hunt for Red October, The (1990)"
"Visitors, The (Visiteurs, Les) (1993)",2.0,1,-,-,-,-
Volcano (1997),2.732142857142857,112,True Lies (1994),Dante's Peak (1997),Twister (1996),Stand by Me (1986)
Wag the Dog (1997),3.4305555555555554,72,Mighty Aphrodite (1995),To Kill a Mockingbird (1962),Star Trek III: The Search for Spock (1984),"Graduate, The (1967)"
Waiting for Guffman (1996),4.111111111111111,27,It's a Wonderful Life (1946),Indiana Jones and the Last Crusade (1989),Casablanca (1942),Jurassic Park (1993)
Waiting to Exhale (1995),3.0,4,"Time to Kill, A (1996)",Broken Arrow (1996),Mission: Impossible (1996),Independence Day (ID4) (1996)
"Walk in the Clouds, A (1995)",3.2285714285714286,35,"Devil's Own, The (1997)",Boogie Nights (1997),Ransom (1996),"Full Monty, The (1997)"
"Walk in the Sun, A (1945)",3.0,1,-,-,-,-
Walkabout (1971),3.75,12,Star Trek IV: The Voyage Home (1986),Terminator 2: Judgment Day (1991),Dances with Wolves (1990),"Fugitive, The (1993)"
"Walking Dead, The (1995)",3.0,1,-,-,-,-
Walking and Talking (1996),3.6,5,"English Patient, The (1996)",Batman (1989),"Sting, The (1973)",Liar Liar (1997)
Wallace & Gromit: The Best of Aardman Animation (1996),4.461538461538462,39,Mr. Holland's Opus (1995),Star Trek: The Wrath of Khan (1982),Pulp Fiction (1994),Air Force One (1997)
"War Room, The (1993)",3.4285714285714284,7,"Birdcage, The (1996)","Clockwork Orange, A (1971)",Butch Cassidy and the Sundance Kid (1969),Aladdin (1992)
"War, The (1994)",3.3,10,In & Out (1997),"Truth About Cats & Dogs, The (1996)",GoodFellas (1990),Rear Window (1954)
Warriors of Virtue (1997),4.0,1,-,-,-,-
Washington Square (1997),3.176470588235294,17,Fargo (1996),"Usual Suspects, The (1995)",Indiana Jones and the Last Crusade (1989),Face/Off (1997)
Waterworld (1995),2.8181818181818183,66,"Saint, The (1997)",Liar Liar (1997),Four Weddings and a Funeral (1994),M*A*S*H (1970)
"Wedding Gift, The (1994)",4.5,2,Back to the Future (1985),Die Hard (1988),"Empire Strikes Back, The (1980)",Independence Day (ID4) (1996)
"Wedding Singer, The (1998)",3.5609756097560976,41,Brazil (1985),Groundhog Day (1993),Starship Troopers (1997),Mrs. Doubtfire (1993)
Weekend at Bernie's (1989),2.8823529411764706,34,Volcano (1997),Titanic (1997),Face/Off (1997),Sense and Sensibility (1995)
Welcome To Sarajevo (1997),2.9166666666666665,12,Dances with Wolves (1990),Quiz Show (1994),Unforgiven (1992),Raising Arizona (1987)
Welcome to the Dollhouse (1995),3.6885245901639343,61,L.A. Confidential (1997),In & Out (1997),Jaws (1975),Casablanca (1942)
Wend Kuuni (God's Gift) (1982),1.0,1,-,-,-,-
Wes Craven's New Nightmare (1994),2.8461538461538463,13,M*A*S*H (1970),"People vs. Larry Flynt, The (1996)",Die Hard (1988),Dead Man Walking (1995)
What Happened Was... (1994),2.5,6,Alien (1979),Willy Wonka and the Chocolate Factory (1971),Scream (1996),Dead Poets Society (1989)
What's Eating Gilbert Grape (1993),3.6363636363636362,66,"People vs. Larry Flynt, The (1996)","Usual Suspects, The (1995)","Full Monty, The (1997)","Fifth Element, The (1997)"
What's Love Got to Do with It (1993),3.6,25,"Full Monty, The (1997)","Rock, The (1996)",M*A*S*H (1970),In & Out (1997)
When Harry Met Sally... (1989),3.9451219512195124,164,"Full Monty, The (1997)",Dances with Wolves (1990),"Silence of the Lambs, The (1991)",In & Out (1997)
When Night Is Falling (1995),4.0,1,-,-,-,-
When We Were Kings (1996),4.076923076923077,26,Raiders of the Lost Ark (1981),"Usual Suspects, The (1995)",2001: A Space Odyssey (1968),"Godfather, The (1972)"
When a Man Loves a Woman (1994),3.611111111111111,18,M*A*S*H (1970),Star Trek: The Wrath of Khan (1982),"Birdcage, The (1996)","Devil's Own, The (1997)"
When the Cats Away (Chacun cherche son chat) (1996),3.857142857142857,7,"Empire Strikes Back, The (1980)",Lone Star (1996),Twister (1996),Toy Story (1995)
While You Were Sleeping (1995),3.6091954022988504,87,True Lies (1994),Aladdin (1992),Starship Troopers (1997),Dead Poets Society (1989)
"White Balloon, The (1995)",2.8333333333333335,6,Trainspotting (1996),Lone Star (1996),Seven (Se7en) (1995),"Shawshank Redemption, The (1994)"
White Man's Burden (1995),2.0,6,Ransom (1996),Amadeus (1984),Independence Day (ID4) (1996),Babe (1995)
White Squall (1996),3.488888888888889,45,Phenomenon (1996),Psycho (1960),Babe (1995),Four Weddings and a Funeral (1994)
"Whole Wide World, The (1996)",4.0,3,"Usual Suspects, The (1995)",Twister (1996),Gandhi (1982),Dances with Wolves (1990)
Widows' Peak (1994),3.6,10,Star Trek: The Wrath of Khan (1982),GoodFellas (1990),"Game, The (1997)",Lone Star (1996)
Wild America (1997),3.6666666666666665,3,Top Gun (1986),E.T. the Extra-Terrestrial (1982),Star Wars (1977),Field of Dreams (1989)
Wild Bill (1995),2.5,8,Leaving Las Vegas (1995),Starship Troopers (1997),Sense and Sensibility (1995),Murder at 1600 (1997)
"Wild Bunch, The (1969)",3.857142857142857,21,"Fifth Element, The (1997)",Air Force One (1997),"English Patient, The (1996)",Broken Arrow (1996)
Wild Reeds (1994),3.0,4,-,-,-,-
Wild Things (1998),2.3333333333333335,6,Twelve Monkeys (1995),Psycho (1960),Jurassic Park (1993),Boogie Nights (1997)
William Shakespeare's Romeo and Juliet (1996),3.5901639344262297,61,Courage Under Fire (1996),"People vs. Larry Flynt, The (1996)",Broken Arrow (1996),Titanic (1997)
Willy Wonka and the Chocolate Factory (1971),3.6545454545454548,165,Get Shorty (1995),"Shining, The (1980)",Heat (1995),Monty Python and the Holy Grail (1974)
Window to Paris (1994),4.0,1,-,-,-,-
Wings of Courage (1995),4.0,1,-,-,-,-
Wings of Desire (1987),4.032258064516129,31,"People vs. Larry Flynt, The (1996)",Broken Arrow (1996),Twister (1996),"Hunt for Red October, The (1990)"
"Wings of the Dove, The (1997)",3.59375,32,Lone Star (1996),Die Hard (1988),Rear Window (1954),"Truth About Cats & Dogs, The (1996)"
Winnie the Pooh and the Blustery Day (1968),3.611111111111111,36,Mr. Holland's Opus (1995),"Truth About Cats & Dogs, The (1996)",Sleepless in Seattle (1993),Men in Black (1997)
"Winter Guest, The (1997)",4.0,3,-,-,-,-
Wishmaster (1997),2.7142857142857144,14,"Hunt for Red October, The (1990)",Boogie Nights (1997),Toy Story (1995),"Rock, The (1996)"
With Honors (1994),2.9444444444444446,18,"Hunt for Red October, The (1990)",Star Trek III: The Search for Spock (1984),"Devil's Own, The (1997)",Lone Star (1996)
Withnail and I (1987),3.25,8,Trainspotting (1996),Star Trek IV: The Voyage Home (1986),M*A*S*H (1970),This Is Spinal Tap (1984)
Witness (1985),4.0,1,-,-,-,-
"Wizard of Oz, The (1939)",4.102189781021898,137,Amadeus (1984),Butch Cassidy and the Sundance Kid (1969),Casablanca (1942),"Sound of Music, The (1965)"
Wolf (1994),2.8461538461538463,39,Star Trek IV: The Voyage Home (1986),Boogie Nights (1997),Alien (1979),Raiders of the Lost Ark (1981)
"Women, The (1939)",3.888888888888889,9,"Devil's Own, The (1997)",Batman (1989),Top Gun (1986),Broken Arrow (1996)
"Wonderful, Horrible Life of Leni Riefenstahl, The (1993)",4.4,5,Boogie Nights (1997),Dead Man Walking (1995),Brazil (1985),"Terminator, The (1984)"
Wonderland (1997),3.2,5,Fargo (1996),Trainspotting (1996),"Rock, The (1996)",Murder at 1600 (1997)
"Wooden Man's Bride, The (Wu Kui) (1994)",3.0,1,-,-,-,-
"World of Apu, The (Apur Sansar) (1959)",3.5,4,2001: A Space Odyssey (1968),"Fugitive, The (1993)",Speed (1994),Mr. Holland's Opus (1995)
"Wrong Trousers, The (1993)",4.34375,64,Quiz Show (1994),M*A*S*H (1970),"Full Monty, The (1997)","Birdcage, The (1996)"
Wyatt Earp (1994),3.227272727272727,22,M*A*S*H (1970),Aliens (1986),Lone Star (1996),Brazil (1985)
Yankee Zulu (1994),1.0,1,-,-,-,-
Year of the Horse (1997),4.0,4,"Fish Called Wanda, A (1988)",Twelve Monkeys (1995),Trainspotting (1996),Toy Story (1995)
Young Frankenstein (1974),3.99,100,"Truth About Cats & Dogs, The (1996)",Groundhog Day (1993),Dead Poets Society (1989),Dead Man Walking (1995)
Young Guns (1988),3.276595744680851,47,Indiana Jones and the Last Crusade (1989),Ransom (1996),Liar Liar (1997),"Time to Kill, A (1996)"
Young Guns II (1990),3.0,23,Rear Window (1954),Dead Man Walking (1995),Sense and Sensibility (1995),Aliens (1986)
"Young Poisoner's Handbook, The (1995)",3.263157894736842,19,Boogie Nights (1997),Sense and Sensibility (1995),"Blues Brothers, The (1980)",Blade Runner (1982)
Zeus and Roxanne (1997),2.0,3,Evita (1996),"Time to Kill, A (1996)",Sense and Sensibility (1995),Mission: Impossible (1996)
unknown,3.7142857142857144,7,Mrs. Doubtfire (1993),Back to the Future (1985),"Hunt for Red October, The (1990)",Blade Runner (1982)
